"","(0,0.5]","(0.5,1]","(1,1.5]","(1.5,2]","(2,2.5]","(2.5,3]","(3,3.5]","(3.5,4]","(4,4.5]","(4.5,5]","(5,5.5]","(5.5,6]","(6,6.5]","(6.5,7]","(7,7.5]","(7.5,8]","(8,8.5]","(8.5,9]","(9,9.5]","(9.5,10]","(10,10.5]","(10.5,11]","(11,11.5]","(11.5,12]","(12,12.5]","(12.5,13]","(13,13.5]","(13.5,14]","(14,14.5]","(14.5,15]","(15,15.5]","(15.5,16]","(16,16.5]","(16.5,17]","(17,17.5]","(17.5,18]","(18,18.5]","(18.5,19]","(19,19.5]","(19.5,20]","(20,20.5]","(20.5,21]","(21,21.5]","(21.5,22]","sum","cusum"
"(0,0.5]",0,0,0,0,0,0,0,0,0,0,0.00397937094104164,0,0.00504053652531941,0.0175092321405832,0.00477524512924997,0.00318349675283331,0.00689757629780551,0.00424466233711108,0.00344878814890275,0.00504053652531941,0.00212233116855554,0,0.00106116558427777,0,0,0,0,0,0.00106116558427777,0.0018570397724861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602211469077635,0.0602211469077635
"(0.5,1]",0,0,0,0,0,0,0.0018570397724861,0.0180398149327221,0.0583641071352774,0.0724245511269579,0.0538541534020969,0.08091387580118,0.217273653380874,0.20931491149879,0.356551636317331,0.662167324589329,0.964864807504563,0.655004456895454,0.489993208540261,0.412793412284053,0.267944310030137,0.159705420433804,0.102933061674944,0.0904643660596799,0.0713633855426801,0.0283861793794304,0.0336920073008192,0.0106116558427777,0.0103463644467083,0.0249373912305276,0.00663228490173607,0.00450995373318053,0.00795874188208328,0.00344878814890275,0.0018570397724861,0.000795874188208328,0.000530582792138885,0.000265291396069443,0.000530582792138885,0.000530582792138885,0,0,0,0,5.08086081752197,5.14108196442973
"(1,1.5]",0,0,0,0,0,0,0,0.00291820535676387,0.0535888620060274,0.238231673670359,0.541990322169871,0.41889511439365,0.581784031580288,0.372469120081498,0.615476038881107,1.05506388216817,2.16636954030307,1.99207309308545,2.07112992911414,1.67823337153529,1.41639076361475,1.06143087567384,0.706205696336856,0.535092745872066,0.410936372511567,0.158113672057388,0.159705420433804,0.0676493059977079,0.0766692134640689,0.0525276964217496,0.0326308417165415,0.0291820535676387,0.0201621461012776,0.00901990746636105,0.00875461607029161,0.00742815908994439,0.00450995373318053,0.00344878814890275,0.00424466233711108,0.00159174837641666,0.000265291396069443,0.000530582792138885,0,0,16.5547136975254,21.6957956619551
"(1.5,2]",0,0,0,0,0,0,0,0,0.000530582792138885,0.0156521923680971,0.158378963453457,0.52846046097033,0.745734114351203,0.468769896854705,0.490789082728469,0.676227768581009,1.18664841461862,1.47316312237362,2.16796128867949,2.17326711660087,2.09261853219576,1.73314869052167,1.47820365889893,1.00147502016215,0.805159387070759,0.38069315335965,0.370877371705081,0.157317797869179,0.118054671250902,0.103198353071013,0.0445689545396664,0.0538541534020969,0.0289167621715693,0.00981578165456938,0.0127339870113332,0.00848932467422217,0.00530582792138885,0.0018570397724861,0.00265291396069443,0.00159174837641666,0,0,0,0,18.4961161339615,40.1919117959166
"(2,2.5]",0,0,0,0,0,0,0,0,0,0.000530582792138885,0.00636699350566662,0.067118723205569,0.348327603039178,0.432424975593192,0.435343180949955,0.536949785644552,0.783405492593064,0.890583216605119,1.22882974659366,1.4142684324462,1.86473322297211,1.75224967103867,1.72890402818456,1.2840103569761,1.21317755422556,0.593722144403413,0.554989600577274,0.244863958572096,0.164480665563054,0.107177724012055,0.0445689545396664,0.0538541534020969,0.0336920073008192,0.0124686956152638,0.0119381128231249,0.00636699350566662,0.00265291396069443,0.000795874188208328,0.00318349675283331,0.00132645698034721,0,0,0,0,15.8233053185619,56.0152171144785
"(2.5,3]",0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.0037140795449722,0.0342225900929581,0.142196188293221,0.239027547858568,0.370081497516873,0.509624771849399,0.520501719088246,0.743081200390509,0.835933189014814,1.17311855341908,1.26039942272592,1.43575703552782,1.26225646249841,1.34900674901312,0.743611783182648,0.778630247463814,0.384141941508553,0.249639203701346,0.162093042998429,0.0681798887898468,0.0660575576212912,0.0376713782418609,0.0145910267838193,0.00955049025849994,0.00795874188208328,0.0018570397724861,0.00159174837641666,0.00318349675283331,0.000795874188208328,0.000265291396069443,0.000265291396069443,0,0,12.4092703425443,68.4244874570228
"(3,3.5]",0,0,0,0,0,0,0,0,0,0,0,0,0.00291820535676387,0.0159174837641666,0.0480177426885691,0.13795152595611,0.262638482108748,0.295799906617429,0.472218685003608,0.51413472558258,0.720000848932467,0.73326541873594,1.03994227259222,0.940988581858313,1.1755061759837,0.687104715819857,0.782874909800925,0.441975465851692,0.303493357103442,0.235578759709665,0.0960354853771382,0.0795874188208328,0.0344878814890276,0.0151216095759582,0.0108769472388472,0.00610170210959718,0.0037140795449722,0.00397937094104164,0.00132645698034721,0.000265291396069443,0.000530582792138885,0.000530582792138885,0.000265291396069443,0,9.06314996392037,77.4876374209432
"(3.5,4]",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106116558427777,0.00583641071352774,0.0257332654187359,0.0888726176832633,0.120707585211596,0.257863236979498,0.299248694766331,0.476728638736789,0.51864467931576,0.749448193896176,0.736714206884842,0.906235408973216,0.598232098136593,0.692145252345176,0.494503162273441,0.297922237785984,0.251496243473832,0.127605161509402,0.0687104715819856,0.0355490470733053,0.0172439407445138,0.0132645698034721,0.00769345048601384,0.00265291396069443,0.00238762256462498,0.000530582792138885,0.000795874188208328,0.000530582792138885,0.000530582792138885,0.000530582792138885,0,6.79941848125982,84.287055902203
"(4,4.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0.00397937094104164,0.0183051063287915,0.0344878814890276,0.106381849823847,0.136625068975763,0.300309860350609,0.310656224797317,0.473279850587886,0.44754658516915,0.673309563224246,0.448607750753428,0.560826011290802,0.411997538095844,0.283065919606095,0.272188972367248,0.133706863618999,0.0936478628125133,0.0514665308374719,0.0236109342501804,0.0177745235366527,0.00848932467422217,0.00450995373318053,0.00212233116855554,0.00212233116855554,0.000530582792138885,0.000265291396069443,0.00106116558427777,0.000265291396069443,0,4.82193641495819,89.1089923171612
"(4.5,5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00318349675283331,0.011407530030986,0.0326308417165415,0.0480177426885691,0.145114393649985,0.191275096566068,0.320472006451887,0.282800628210026,0.458423532407997,0.339572986968887,0.415181034848678,0.307738019440554,0.237435799482151,0.25706736279129,0.13795152595611,0.0968313595653466,0.0716286769387495,0.0230803514580415,0.0143257353877499,0.0156521923680971,0.00318349675283331,0.00265291396069443,0.00106116558427777,0.00132645698034721,0,0.000265291396069443,0,0,3.41854492975084,92.527537246912
"(5,5.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530582792138885,0,0.000795874188208328,0.00583641071352774,0.0145910267838193,0.0562417759667218,0.078526253236555,0.200825586824568,0.184377520268263,0.339307695572817,0.24751687253279,0.294738741033151,0.239292839254637,0.200560295428499,0.247782163928859,0.115401757290208,0.0976272337535549,0.0793221274247634,0.0379366696379303,0.0153869009720277,0.0111422386349166,0.0055711193174583,0.00212233116855554,0.000795874188208328,0.000530582792138885,0.000265291396069443,0,0,0,2.47702576510039,95.0045630120124
"(5.5,6]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000795874188208328,0.0037140795449722,0.0201621461012776,0.0302432191519165,0.0955049025849994,0.099484273526041,0.233987011333248,0.154134301116346,0.227089435035443,0.181989897703638,0.150420221571374,0.189683348189652,0.0925866972282355,0.0896684918714716,0.0687104715819856,0.0267944310030137,0.0164480665563054,0.00981578165456938,0.00318349675283331,0.00132645698034721,0.000795874188208328,0,0,0,0,0,1.69680376926016,96.7013667812726
"(6,6.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132645698034721,0.00689757629780551,0.00795874188208328,0.043773080351458,0.0657922662252218,0.135298611995416,0.100280147714249,0.170317076276582,0.135829194787555,0.0949743197928605,0.143257353877499,0.0750774650876523,0.0668534318094996,0.0777303790483467,0.0172439407445138,0.0108769472388472,0.00901990746636105,0.00450995373318053,0.00132645698034721,0.000530582792138885,0,0,0,0,0,1.16887389108196,97.8702406723545
"(6.5,7]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132645698034721,0.00106116558427777,0.0103463644467083,0.0188356891209304,0.0703022199584023,0.0554459017785135,0.11407530030986,0.107973598200263,0.0673840146016384,0.0989536907339021,0.0456301201239441,0.0379366696379303,0.0570376501549302,0.0267944310030137,0.0180398149327221,0.00663228490173607,0.00106116558427777,0,0,0,0,0,0,0,0.738836538053398,98.6090772104079
"(7,7.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530582792138885,0.00397937094104164,0.00742815908994439,0.0342225900929581,0.0318349675283331,0.0692410543741245,0.0615476038881107,0.0405895835986247,0.0771997962562078,0.0387325438261386,0.0445689545396664,0.0408548749946942,0.0177745235366527,0.00636699350566662,0.00795874188208328,0.00265291396069443,0.000795874188208328,0,0,0,0,0,0,0.486279128995288,99.0953563394032
"(7.5,8]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00212233116855554,0.00238762256462498,0.0111422386349166,0.0143257353877499,0.0355490470733053,0.0419160405789719,0.0342225900929581,0.0594252727195552,0.0259985568148054,0.0278555965872915,0.0217538944776943,0.0169786493484443,0.00636699350566662,0.00769345048601384,0.00477524512924997,0.0018570397724861,0,0,0,0,0,0,0.314635595738359,99.4099919351416
"(8,8.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530582792138885,0.000265291396069443,0.00424466233711108,0.00397937094104164,0.0172439407445138,0.0217538944776943,0.0230803514580415,0.0374060868457914,0.0257332654187359,0.0220191858737637,0.0193662719130693,0.0119381128231249,0.00636699350566662,0.00742815908994439,0.00663228490173607,0,0,0,0,0,0,0,0.207988454518443,99.61798038966
"(8.5,9]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0,0.00132645698034721,0.00344878814890275,0.00610170210959718,0.0151216095759582,0.0153869009720277,0.0297126363597776,0.0236109342501804,0.0193662719130693,0.0238762256462498,0.00344878814890275,0.00212233116855554,0.0037140795449722,0.00504053652531941,0.00344878814890275,0,0,0,0,0,0,0.155991340888832,99.7739717305488
"(9,9.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132645698034721,0.00318349675283331,0.00716286769387495,0.00848932467422217,0.0220191858737637,0.0143257353877499,0.0148563181798888,0.0135298611995416,0.00504053652531941,0.00291820535676387,0.00159174837641666,0.00238762256462498,0,0,0,0,0,0,0,0.0968313595653466,99.8708030901142
"(9.5,10]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00106116558427777,0.0037140795449722,0.00265291396069443,0.00981578165456938,0.00663228490173607,0.00848932467422217,0.0143257353877499,0.00159174837641666,0.00318349675283331,0.00318349675283331,0.00106116558427777,0.000530582792138885,0,0,0,0,0,0,0.0565070673627913,99.927310157477
"(10,10.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000265291396069443,0.000265291396069443,0.00291820535676387,0.00291820535676387,0.00265291396069443,0.00795874188208328,0.0018570397724861,0.0018570397724861,0.0018570397724861,0.00212233116855554,0,0,0,0,0,0,0,0.0249373912305276,99.9522475487075
"(10.5,11]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000530582792138885,0.000795874188208328,0.00132645698034721,0.00397937094104164,0.00344878814890275,0.00238762256462498,0.000530582792138885,0.00106116558427777,0.00132645698034721,0,0,0,0,0,0,0,0.0156521923680971,99.9678997410756
"(11,11.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0,0,0.00159174837641666,0.0018570397724861,0.00238762256462498,0.00132645698034721,0.00159174837641666,0.000530582792138885,0,0,0,0,0,0,0,0.00955049025849994,99.9774502313341
"(11.5,12]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0.000265291396069443,0.000795874188208328,0.00238762256462498,0.00106116558427777,0.00318349675283331,0.0037140795449722,0,0,0,0,0,0,0,0,0.0122034042191944,99.9896536355533
"(12,12.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530582792138885,0.000530582792138885,0.00159174837641666,0.000265291396069443,0,0.000265291396069443,0,0,0,0,0,0,0,0,0.00318349675283331,99.9928371323061
"(12.5,13]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159174837641666,0.00106116558427777,0,0.000265291396069443,0,0,0,0,0,0,0,0,0.00291820535676387,99.9957553376629
"(13,13.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530582792138885,0.00132645698034721,0.00106116558427777,0.000265291396069443,0,0,0,0,0,0,0,0,0.00318349675283331,99.9989388344157
"(13.5,14]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000530582792138885,0.000265291396069443,0,0,0,0,0,0,0,0,0.00106116558427777,100
"(14,14.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"(14.5,15]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"ColTotals",0,0,0,0,0,0,0.0018570397724861,0.020958020289486,0.112483551933444,0.326838999957553,0.764835094868203,1.0991022539157,1.93530073432658,1.65966297381043,2.19661275945499,3.47213379175687,5.99081030604015,5.99903433931831,7.58017105989219,7.53719385372894,8.5437094104164,7.83936075385203,8.3935544802411,6.95991977588183,7.89294961585806,4.59060231758564,5.28778810645613,3.33763105394966,2.38099027972325,2.38788785602105,1.16064985780381,0.985026953605841,0.757406935778259,0.30455452268772,0.197642090071735,0.146440850630332,0.0697716371662634,0.0305085105479859,0.020958020289486,0.00928519886243049,0.00212233116855554,0.00318349675283331,0.00106116558427777,0,100,NA
