"","ReturnPeriod","Threshold","ThresholdPercentile","GEV","Gumbel","GP"
"1",1.01,NA,NA,25.0907794674062,24.7050601590953,NA
"2",1.01,16.5821946969907,0.990202040816327,NA,NA,29.2784628449202
"3",2,NA,NA,29.7859349465854,29.9915129785788,NA
"4",2,16.5821946969907,0.990202040816327,NA,NA,31.0293594071141
"5",5,NA,NA,33.1480030052483,33.1519981740312,NA
"6",5,16.5821946969907,0.990202040816327,NA,NA,33.2184372431436
"7",10,NA,NA,35.639399973321,35.2445143763116,NA
"8",10,16.5821946969907,0.990202040816327,NA,NA,34.7611116484088
"9",20,NA,NA,38.2496299267164,37.251706155816,NA
"10",20,16.5821946969907,0.990202040816327,NA,NA,36.2125743343575
"11",50,NA,NA,41.9812022212905,39.8498100282594,NA
"12",50,16.5821946969907,0.990202040816327,NA,NA,38.0004408340687
"13",100,NA,NA,45.064200967044,41.7967232721534,NA
"14",100,16.5821946969907,0.990202040816327,NA,NA,39.2603758823984
"15",200,NA,NA,48.4040067873338,43.7365325566573,NA
"16",200,16.5821946969907,0.990202040816327,NA,NA,40.4458163766
