"","month","mean","median","sd","max","min"
"1","January",4.33035293636855,3.949766878,1.88060980009954,12.30085915,1.239770417
"2","February",4.18456077338002,3.9581908205,1.74952589107975,12.17960574,1.377262769
"3","March",3.59651206407796,3.2532670035,1.58584322357395,11.61888684,0.999370413
"4","April",2.61824082314111,2.4094713995,1.08572539766837,7.075496593,0.825253862
"5","May",2.16118705380134,1.9681673365,0.970006219036271,7.154770314,0.732416498
"6","June",1.94024251068417,1.7535871055,0.876972730894461,6.14063166,0.745494783
"7","July",1.76753379710349,1.6339958295,0.661556954390273,5.567921461,0.784447062
"8","August",2.11738384905269,1.9773086235,0.795334095686073,6.025913795,0.801630209
"9","September",2.62117010191222,2.4845028745,0.984962364607898,7.50842938,0.800998265
"10","October",2.88615162195457,2.71305841,1.22914382593068,9.024323622,0.644706569
"11","November",3.43062757817722,3.245904938,1.39932288146104,8.998369865,0.950832262
"12","December",4.09372133356586,3.8817738975,1.65233612142817,10.21856973,1.166721513
"13","Overall",2.97330549441516,2.6120105345,1.56769467119379,12.30085915,0.644706569
