"","month","mean","median","sd","max","min"
"1","January",9.66651388586425,9.51935298450179,3.84427896208067,21.2731251790931,0.546176912092235
"2","February",9.63418372779398,9.48858271405588,3.97984894777309,25.3800350076798,0.231701464185918
"3","March",7.9904512554466,7.70960515775824,3.51284873659062,18.9843606395002,0.219445617462657
"4","April",6.58159897281066,6.29774255467886,3.06075522110021,19.0441627466799,0.118570206119804
"5","May",6.44924977468392,6.26675976000551,2.9983566017424,16.5921896848227,0.139892678818325
"6","June",6.32207455807156,6.10765671921178,2.91767191471747,17.999291576429,0.0550863017275894
"7","July",6.5396521329705,6.49479318068872,2.72083160766892,14.8357031023805,0.26960717087375
"8","August",6.9769794746102,6.75109182943319,2.72331584028874,17.4123596886396,0.324873643449668
"9","September",7.07694082376779,7.0872035520955,2.90227642422312,19.0633131891296,0.126054987966157
"10","October",7.78530133834821,7.60182083438641,3.40915198776277,27.2104059073004,0.346680724451368
"11","November",8.80744193101452,8.85916919343703,3.58069549265109,21.4416506677633,0.185992428736383
"12","December",9.42380180804517,9.13042624845913,3.85025601707739,22.8393627306602,0.19376565774784
"13","Overall",7.76318759436681,7.45579261110657,3.54377284617786,27.2104059073004,0.0550863017275894
